,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"12,356","6,456","8,828","11,615","12,153","11,699","15,370","25,965","17,667","21,308","23,906","32,071"
Expenses +,"4,591","3,771","5,233","5,812","5,228","5,697","6,580","13,338","11,613","14,014","15,755","22,811"
Operating Profit,"7,765","2,685","3,595","5,803","6,925","6,003","8,790","12,626","6,054","7,294","8,150","9,260"
OPM %,63%,42%,41%,50%,57%,51%,57%,49%,34%,34%,34%,29%
Other Income +,"2,155","1,682",910,667,588,416,351,716,"2,004","1,087","1,591","1,488"
Interest,0,66,21,37,40,10,17,39,75,78,178,121
Depreciation,173,218,197,257,279,295,229,288,336,351,420,477
Profit before tax,"9,747","4,084","4,287","6,176","7,194","6,114","8,896","13,016","7,646","7,952","9,143","10,149"
Tax %,34%,34%,40%,38%,36%,41%,30%,27%,28%,30%,28%,27%
Net Profit +,"6,351","2,544","2,543","3,808","4,617","3,573","6,276","9,429","5,601","5,567","6,520","7,450"
EPS in Rs,5.34,2.14,2.68,4.01,5.03,3.89,7.14,10.72,6.37,6.34,7.43,8.47
Dividend Payout %,53%,171%,64%,36%,37%,45%,36%,46%,35%,38%,44%,41%
