,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"5,851","5,395","4,014","5,410","6,489","5,414","4,919","6,568","7,005","6,739","6,378","7,611","11,343"
Expenses +,"3,689","3,401","2,824","3,403","4,388","3,074","3,533","4,196","4,953","4,260","4,385","5,467","8,700"
Operating Profit,"2,162","1,994","1,190","2,007","2,102","2,340","1,386","2,372","2,051","2,478","1,993","2,144","2,644"
OPM %,37%,37%,30%,37%,32%,43%,28%,36%,29%,37%,31%,28%,23%
Other Income +,"1,228",294,321,84,389,365,361,375,492,300,383,372,432
Interest,12,6,19,32,21,23,29,61,65,27,8,35,51
Depreciation,93,69,89,82,111,74,103,103,141,109,110,107,152
Profit before tax,"3,285","2,212","1,404","1,977","2,359","2,608","1,614","2,584","2,338","2,643","2,259","2,375","2,873"
Tax %,31%,25%,27%,26%,40%,25%,26%,27%,37%,26%,26%,26%,30%
Net Profit +,"2,272","1,653","1,026","1,482","1,410","1,969","1,205","1,880","1,477","1,968","1,698","1,757","2,027"
EPS in Rs,2.58,1.88,1.17,1.69,1.61,2.24,1.38,2.14,1.68,2.24,1.93,2.00,2.31
Raw PDF,,,,,,,,,,,,,
