# PI screening run
# date: 2026-07-06
# query: Sales growth 10Years > 15 AND Price to Earning < 10 AND Debt to equity < 1 AND Cash from operations last year > 0 AND Market Capitalization > 25
# universe: N/A (screener.in raw-query endpoint does not report total universe size) | passed: 23 | after dedupe: 23
# tags: SME | RECENT-IPO | WATCH-PRICEY | IDEA-ONLY | DISCOVERED (absence of tag = clean main-board name)
# note: SME tag applied on evidence of half-yearly-only (Mar/Sep) results cadence, a SEBI disclosure
#       pattern specific to SME-platform issuers -- not a direct board-type field from screener.in.
#       No result showed <3yr of trading history in the data window checked, so RECENT-IPO was not applied;
#       the analysis agent should still confirm listing date per company. WATCH-PRICEY / IDEA-ONLY variants
#       were not run this pass (optional, baseline only).
#
# Name | Ticker | Mcap(cr) | P/E | D/E | Sales10yCAGR% | CFO-latest(cr) | Tags
Gravity (India) | 532015 | 92.98 | 7.25 | 0.16 | 24.69 | 0 | 
Jindal Poly Inve | JPOLYINVST | 1146.63 | 1.35 | 0.01 | 157.78 | 6 | 
BLB | BLBLIMITED | 86.85 | 2.60 | 0.00 | 28.32 | 15 | 
Party Cruisers | PARTYCRUS | 106.27 | 8.61 | 0.10 | 28.17 | 3 | SME
Sri Ramakr. Mill | 521178 | 39.17 | 1.98 | 0.72 | 18.03 | 1 | 
NMDC | NMDC | 74211.79 | 9.94 | 0.19 | 17.39 | 4996 | DISCOVERED
Expleo Solutions | EXPLEOSOL | 1275.88 | 9.45 | 0.01 | 15.42 | 119 | 
Platinumone Bus. | 543352 | 26.11 | 7.29 | 0.04 | 16.22 | 1.79 | SME
Master Trust | MASTERTR | 933.21 | 7.41 | 0.28 | 18.71 | 311 | 
Vivid Mercantile | 542046 | 73.40 | 6.79 | 0.00 | 108.65 | 28 | 
Sera Investments | 512399 | 265.91 | 5.00 | 0.00 | 58.90 | 55 | 
Aristo Bio-Tech | ARISTO | 61.95 | 8.63 | 0.80 | 20.40 | 8 | SME
Geekay Wires | GEEKAYWIRE | 258.26 | 8.58 | 0.84 | 18.54 | 21 | 
Tatia Global | 521228 | 36.39 | 6.38 | 0.00 | 18.27 | 0.75 | 
Ashapuri Gold | 542579 | 133.32 | 7.23 | 0.00 | 19.02 | 9 | 
Dhanalaxmi Roto | 521216 | 57.71 | 8.39 | 0.03 | 18.70 | 16 | 
O N G C | ONGC | 306204.00 | 7.40 | 0.47 | 18.24 | 112719 | DISCOVERED
RKEC Projects | RKEC | 77.19 | 8.16 | 0.92 | 18.87 | 11 | 
AastamangalamFin | 511764 | 58.16 | 6.15 | 0.60 | 29.75 | 17.64 | 
Riddhi Corporate | 540590 | 73.51 | 8.21 | 0.43 | 28.53 | 24 | 
Amrapali Capital | 536737 | 40.64 | 8.36 | 0.35 | 109.28 | 2 | SME
Leading Lea. Fin | 540360 | 74.38 | 3.99 | 0.56 | 78.99 | 377 | 
Chennai Ferrous | 539011 | 32.40 | 9.59 | 0.00 | 16.86 | 3 | 
